name	collapsed
NFKB2	NFKB*
NGF	NGF
NGFR	NGFR
NLK	NLK
NOS3	NOS3
NR4A1	NR4A1
NRAS	NRAS
NRG1	NRG*
NRG2	NRG*
NTF3	NTF*
NTF4	NTF*
NTRK1	NTRK*
NTRK2	NTRK*
OSM	OSM
OSMR	OSMR
PAK1	PAK*
PAK2	PAK*
PAK3	PAK*
PAK4	PAK*
PAK5	PAK*
PAK6	PAK*
PCK1	PCK*
PCK2	PCK*
PDGFA	PDGF*
PDGFB	PDGF*
PDGFC	PDGF*
PDGFD	PDGF*
PDGFRA	PDGFR*
PDGFRB	PDGFR*
PDPK1	PDPK1
PGF	PGF
PHLPP1	PHLPP1
PHLPP2	PHLPP2
PIK3AP1	PIK3AP1
PIK3CA	PIK3C*
PIK3CB	PIK3C*
PIK3CD	PIK3C*
PIK3CG	PIK3C*
PIK3R1	PIK3R*
PIK3R2	PIK3R*
PIK3R3	PIK3R*
PIK3R5	PIK3R*
PIK3R6	PIK3R*
PKN1	PKN*
PKN2	PKN*
PKN3	PKN*
PLA1A	PLA1A
PLA2G10	PLA2G10
PLA2G12A	PLA2G12*
PLA2G12B	PLA2G12*
PLA2G1B	PLA2G1B
PLA2G2A	PLA2G2*
PLA2G2C	PLA2G2*
PLA2G2D	PLA2G2*
PLA2G2E	PLA2G2*
PLA2G2F	PLA2G2*
PLA2G3	PLA2G3
PLA2G4A	PLA2G4*
PLA2G4B	PLA2G4*
PLA2G4C	PLA2G4*
PLA2G4D	PLA2G4*
PLA2G4E	PLA2G4*
PLA2G4F	PLA2G4*
PLA2G5	PLA2G5
PLA2G6	PLA2G6
PLAAT3	PLAAT3
PLCE1	PLCE1
PLCG1	PLCG*
PLCG2	PLCG*
PLD1	PLD*
PLD2	PLD*
PPM1A	PPM1*
PPM1B	PPM1*
PPP2CA	PPP2C*
PPP2CB	PPP2C*
PPP2R1A	PPP2R1*
PPP2R1B	PPP2R1*
PPP2R2A	PPP2R2*
PPP2R2B	PPP2R2*
PPP2R2C	PPP2R2*
PPP2R2D	PPP2R2*
PPP2R3A	PPP2R3*
PPP2R3B	PPP2R3*
PPP2R3C	PPP2R3*
PPP2R5A	PPP2R5*
PPP2R5B	PPP2R5*
PPP2R5C	PPP2R5*
PPP2R5D	PPP2R5*
PPP2R5E	PPP2R5*
PPP3CA	PPP3C*
PPP3CB	PPP3C*
PPP3CC	PPP3C*
PPP3R1	PPP3R*
PPP3R2	PPP3R*
PPP5C	PPP5C
PRKAA1	PRKAA*
PRKAA2	PRKAA*
PRKACA	PRKAC*
PRKACB	PRKAC*
PRKACG	PRKAC*
PRKCA	PRKC*
PRKCB	PRKC*
PRKCG	PRKC*
PRL	PRL
PRLR	PRLR
PTEN	PTEN
PTK2	PTK2
PTPN11	PTPN*
PTPN5	PTPN*
PTPN7	PTPN*
PTPRR	PTPRR
RAB5A	RAB5*
RAB5B	RAB5*
RAB5C	RAB5*
RAC1	RAC*
RAC2	RAC*
RAC3	RAC*
RAF1	RAF1
RALA	RALA
RALB	RALB
RALBP1	RALBP1
RALGDS	RALGDS
RAP1A	RAP1A
RAP1B	RAP1B
RAPGEF2	RAPGEF*
RAPGEF5	RAPGEF*
RASA1	RASA*
RASA2	RASA*
RASA3	RASA*
RASA4	RASA*
RASA4B	RASA4B
RASAL1	RASAL*
RASAL2	RASAL*
RASAL3	RASAL*
RASGRF1	RASGRF*
RASGRF2	RASGRF*
RASGRP1	RASGRP*
RASGRP2	RASGRP*
RASGRP3	RASGRP*
RASGRP4	RASGRP*
RASSF1	RASSF*
RASSF5	RASSF*
RBL2	RBL2
REL	REL
RELA	REL*
RELB	REL*
RELN	REL*
RGL1	RGL*
RGL2	RGL*
RHEB	RHEB
RHOA	RHOA
RIN1	RIN1
RPS6	RPS6
RPS6KA1	RPS6KA*
RPS6KA2	RPS6KA*
RPS6KA3	RPS6KA*
RPS6KA4	RPS6KA*
RPS6KA5	RPS6KA*
RPS6KA6	RPS6KA*
RPS6KB1	RPS6KB*
RPS6KB2	RPS6KB*
RPTOR	RPTOR
RRAS	RRAS
RRAS2	RRAS2
RXRA	RXRA
SGK1	SGK*
SGK2	SGK*
SGK3	SGK*
SHC1	SHC*
SHC2	SHC*
SHC3	SHC*
SHC4	SHC*
SHOC2	SHOC2
SOS1	SOS1
SOS2	SOS2
SPP1	SPP1
SRC	SRC
SRF	SRF
STAT3	STAT3
STK11	STK*
STK3	STK*
STK4	STK*
STMN1	STMN1
SYK	SYK
SYNGAP1	SYNGAP1
TAB1	TAB*
TAB2	TAB*
TAOK1	TAOK*
TAOK2	TAOK*
TAOK3	TAOK*
TBK1	TBK1
TCL1A	TCL1*
TCL1B	TCL1*
TEK	TEK
TGFA	TGFA
TGFB1	TGFB*
TGFB2	TGFB*
TGFB3	TGFB*
TGFBR1	TGFBR*
TGFBR2	TGFBR*
THBS1	THBS*
THBS2	THBS*
THBS3	THBS*
THBS4	THBS*
THEM4	THEM4
TIAM1	TIAM1
TLR2	TLR*
TLR4	TLR*
TNC	TNC
TNF	TNF
TNFRSF1A	TNFRSF1A
TNN	TNN
TNR	TNR
TNXB	TNXB
TP53	TP53
TRADD	TRADD
TRAF2	TRAF*
TRAF6	TRAF*
TSC1	TSC*
TSC2	TSC*
VEGFA	VEGF*
VEGFB	VEGF*
VEGFC	VEGF*
VEGFD	VEGF*
VTN	VTN
VWF	VWF
YWHAB	YWHA*
YWHAE	YWHA*
YWHAG	YWHA*
YWHAH	YWHA*
YWHAQ	YWHA*
YWHAZ	YWHA*
ZAP70	ZAP70
